"root"	"kanji"	"id"	"id_super"	"disp"	"band"	"F"	"groupkey"
"fiakr"	"马车"	""	""	"马车"	"pejvo"	"3"	"马车"
"faeton"	"马车"	"ft"	"ᶠᵀ"	"马车ᶠᵀ"	"pejvo"	"2"	"马车"
"obstrukc"	"阻"	""	""	"阻"	"pejvo"	"3"	"阻"
"sambuk"	"接骨"	""	""	"接骨"	"pejvo"	"3"	"接骨"
"endivi"	"苦菜"	""	""	"苦菜"	"pejvo"	"3"	"苦菜"
"sektor"	"域"	""	""	"域"	"pejvo"	"3"	"域"
"mang"	"芒果"	""	""	"芒果"	"pejvo"	"3"	"芒果"
"kompos^t"	"堆肥"	""	""	"堆肥"	"pejvo"	"3"	"堆肥"
"pedant"	"迂"	""	""	"迂"	"pejvo"	"3"	"迂"
"rikur"	"递归"	""	""	"递归"	"piv"	"3"	"递归"
"petrosel"	"香芹"	""	""	"香芹"	"pejvo"	"3"	"香芹"
"paramagnet"	"顺磁"	""	""	"顺磁"	"pejvo"	"3"	"顺磁"
"korus"	"合唱"	""	""	"合唱"	"pejvo"	"3"	"合唱"
"bariton"	"男中音"	""	""	"男中音"	"pejvo"	"3"	"男中音"
"lobi"	"游说"	""	""	"游说"	"pejvo"	"3"	"游说"
"uretr"	"尿道"	""	""	"尿道"	"pejvo"	"3"	"尿道"
"turbid"	"浊"	""	""	"浊"	"piv"	"3"	"浊"
"astigmat"	"散光"	""	""	"散光"	"pejvo"	"3"	"散光"
"melis"	"蜂草"	""	""	"蜂草"	"pejvo"	"3"	"蜂草"
"guvern"	"教养"	""	""	"教养"	"pejvo"	"3"	"教养"
"kondiment"	"佐"	""	""	"佐"	"pejvo"	"3"	"佐"
"hibisk"	"芙蓉"	""	""	"芙蓉"	"pejvo"	"3"	"芙蓉"
"absces"	"脓肿"	""	""	"脓肿"	"pejvo"	"3"	"脓肿"
"klerikal"	"教权"	""	""	"教权"	"pejvo"	"3"	"教权"
"anastomoz"	"吻合"	""	""	"吻合"	"piv"	"3"	"吻合"
"mandarin"	"橘"	""	""	"橘"	"pejvo"	"3"	"橘"
"karpel"	"心皮"	""	""	"心皮"	"piv"	"3"	"心皮"
"kolaps"	"崩"	""	""	"崩"	"pejvo"	"3"	"崩"
"flus"	"涨"	""	""	"涨"	"pejvo"	"3"	"涨"
"platen"	"白金"	""	""	"白金"	"pejvo"	"3"	"白金"
"ans"	"柄"	""	""	"柄"	"pejvo"	"3"	"柄"
"stip"	"柄"	"s"	"ˢ"	"柄ˢ"	"pejvo"	"2"	"柄"
"koc^"	"红虫"	""	""	"红虫"	"piv"	"3"	"红虫"
"c^ikan"	"刁"	""	""	"刁"	"pejvo"	"3"	"刁"
"gurd"	"摇琴"	""	""	"摇琴"	"pejvo"	"3"	"摇琴"
"gasteroste"	"刺鱼"	""	""	"刺鱼"	"pejvo"	"3"	"刺鱼"
"stafet"	"接力"	""	""	"接力"	"pejvo"	"3"	"接力"
"puber"	"发育"	""	""	"发育"	"piv"	"3"	"发育"
"anemon"	"银莲"	""	""	"银莲"	"pejvo"	"3"	"银莲"
"placent"	"胎盘"	""	""	"胎盘"	"pejvo"	"3"	"胎盘"
"anglikan"	"圣公"	""	""	"圣公"	"pejvo"	"3"	"圣公"
"prote"	"帝王花"	""	""	"帝王花"	"piv"	"3"	"帝王花"
"lic^i"	"荔"	""	""	"荔"	"piv"	"3"	"荔"
"ekskomunik"	"开除"	""	""	"开除"	"pejvo"	"3"	"开除"
"mentor"	"导师"	""	""	"导师"	"pejvo"	"3"	"导师"
"suna"	"圣行"	""	""	"圣行"	"pejvo"	"3"	"圣行"
"simfoni"	"交响"	""	""	"交响"	"pejvo"	"3"	"交响"
"mile"	"黄米"	""	""	"黄米"	"pejvo"	"3"	"黄米"
"eu^kariot"	"真核"	""	""	"真核"	"piv"	"3"	"真核"
"resurs"	"资源"	""	""	"资源"	"pejvo"	"3"	"资源"
"peoni"	"牡丹"	""	""	"牡丹"	"pejvo"	"3"	"牡丹"
"rendiment"	"效率"	""	""	"效率"	"pejvo"	"3"	"效率"
"bizon"	"野牛"	""	""	"野牛"	"pejvo"	"3"	"野牛"
"sagu"	"西米"	""	""	"西米"	"pejvo"	"3"	"西米"
"vals"	"圆舞"	""	""	"圆舞"	"pejvo"	"3"	"圆舞"
"kreozot"	"木馏"	""	""	"木馏"	"pejvo"	"3"	"木馏"
"nu"	"嘿"	""	""	"嘿"	"pejvo"	"3"	"嘿"
"vehikl"	"载体"	""	""	"载体"	"piv"	"3"	"载体"
"kardj"	"胃门"	""	""	"胃门"	"piv"	"3"	"胃门"
"terat"	"畸"	""	""	"畸"	"pejvo"	"3"	"畸"
"pleokro"	"多色"	""	""	"多色"	"piv"	"3"	"多色"
"kalejdoskop"	"万花筒"	""	""	"万花筒"	"pejvo"	"3"	"万花筒"
"amnesti"	"赦"	""	""	"赦"	"pejvo"	"3"	"赦"
"prokuror"	"检察"	""	""	"检察"	"pejvo"	"3"	"检察"
"avangard"	"前卫"	""	""	"前卫"	"pejvo"	"3"	"前卫"
"nekton"	"自游"	""	""	"自游"	"piv"	"3"	"自游"
"engag^"	"聘"	""	""	"聘"	"pejvo"	"3"	"聘"
"patos"	"慨"	""	""	"慨"	"pejvo"	"3"	"慨"
"interpunkci"	"标点"	""	""	"标点"	"pejvo"	"3"	"标点"
"emfizem"	"气肿"	""	""	"气肿"	"pejvo"	"3"	"气肿"
"balkon"	"阳台"	""	""	"阳台"	"pejvo"	"3"	"阳台"
"pleu^ronekt"	"比目鱼"	""	""	"比目鱼"	"pejvo"	"3"	"比目鱼"
"plane"	"翼"	""	""	"翼"	"pejvo"	"3"	"翼"
"vink"	"蔓春"	""	""	"蔓春"	"pejvo"	"3"	"蔓春"
"astm"	"喘"	""	""	"喘"	"pejvo"	"3"	"喘"
"anhel"	"喘"	"an"	"ᴬᴺ"	"喘ᴬᴺ"	"pejvo"	"2"	"喘"
"stertor"	"喘"	"s"	"ˢ"	"喘ˢ"	"pejvo"	"2"	"喘"
"arnik"	"羊菊"	""	""	"羊菊"	"pejvo"	"3"	"羊菊"
"cirkumcid"	"割礼"	""	""	"割礼"	"pejvo"	"3"	"割礼"
"tore"	"斗牛"	""	""	"斗牛"	"piv"	"3"	"斗牛"
"pervers"	"邪"	""	""	"邪"	"pejvo"	"3"	"邪"
"perversi"	"邪"	"pi"	"ᴾᴵ"	"邪ᴾᴵ"	"pejvo"	"2"	"邪"
"spiroket"	"螺旋体"	""	""	"螺旋体"	"pejvo"	"3"	"螺旋体"
"simpat"	"交感"	""	""	"交感"	"piv"	"3"	"交感"
"kurator"	"监护"	""	""	"监护"	"pejvo"	"3"	"监护"
"kolin"	"胆碱"	""	""	"胆碱"	"piv"	"3"	"胆碱"
"penicilin"	"青霉素"	""	""	"青霉素"	"pejvo"	"3"	"青霉素"
"avokad"	"鳄梨"	""	""	"鳄梨"	"pejvo"	"3"	"鳄梨"
"modlur"	"线脚"	""	""	"线脚"	"pejvo"	"3"	"线脚"
"unitari"	"一神"	""	""	"一神"	"piv"	"3"	"一神"
"manikur"	"美甲"	""	""	"美甲"	"pejvo"	"3"	"美甲"
"hidrid"	"氢化"	""	""	"氢化"	"piv"	"3"	"氢化"
"laktuk"	"生菜"	""	""	"生菜"	"pejvo"	"3"	"生菜"
"kamomil"	"甘菊"	""	""	"甘菊"	"pejvo"	"3"	"甘菊"
"rezignaci"	"顺"	""	""	"顺"	"pejvo"	"3"	"顺"
"mung"	"擦鼻"	""	""	"擦鼻"	"pejvo"	"3"	"擦鼻"
"rizom"	"根茎"	""	""	"根茎"	"pejvo"	"3"	"根茎"
"alteraci"	"蚀变"	""	""	"蚀变"	"piv"	"3"	"蚀变"
"porfir"	"斑岩"	""	""	"斑岩"	"pejvo"	"3"	"斑岩"
"patriark"	"族长"	""	""	"族长"	"pejvo"	"3"	"族长"
"mezomer"	"共振"	""	""	"共振"	"piv"	"3"	"共振"
"kolik"	"绞痛"	""	""	"绞痛"	"pejvo"	"3"	"绞痛"
"rur"	"乡"	""	""	"乡"	"pejvo"	"3"	"乡"
"bajt"	"字节"	""	""	"字节"	"pejvo"	"3"	"字节"
"safran"	"藏红花"	""	""	"藏红花"	"pejvo"	"3"	"藏红花"
"kimon"	"和服"	""	""	"和服"	"pejvo"	"3"	"和服"
"ekspertiz"	"鉴"	""	""	"鉴"	"pejvo"	"3"	"鉴"
"singult"	"逆气"	""	""	"逆气"	"pejvo"	"3"	"逆气"
"ahims"	"不害"	""	""	"不害"	"piv"	"3"	"不害"
"fosforesk"	"磷光"	""	""	"磷光"	"pejvo"	"3"	"磷光"
"gargar"	"漱"	""	""	"漱"	"pejvo"	"3"	"漱"
"subvenci"	"补贴"	""	""	"补贴"	"pejvo"	"3"	"补贴"
"lofi"	"蛤蟆鱼"	""	""	"蛤蟆鱼"	"piv"	"3"	"蛤蟆鱼"
"ferut"	"驮"	""	""	"驮"	"piv"	"3"	"驮"
"plagiat"	"窃"	""	""	"窃"	"pejvo"	"3"	"窃"
"zigot"	"合子"	""	""	"合子"	"piv"	"3"	"合子"
"fibrin"	"纤蛋白"	""	""	"纤蛋白"	"pejvo"	"3"	"纤蛋白"
"mizogin"	"厌女"	""	""	"厌女"	"piv"	"3"	"厌女"
"kam"	"凸轮"	""	""	"凸轮"	"pejvo"	"3"	"凸轮"
"au^kci"	"拍卖"	""	""	"拍卖"	"pejvo"	"3"	"拍卖"
"bok"	"牡"	""	""	"牡"	"pejvo"	"3"	"牡"
"orgasm"	"高潮"	""	""	"高潮"	"pejvo"	"3"	"高潮"
"hortikultur"	"园艺"	""	""	"园艺"	"pejvo"	"3"	"园艺"
"rastr"	"锄"	""	""	"锄"	"piv"	"3"	"锄"
"kvestor"	"财务官"	""	""	"财务官"	"pejvo"	"3"	"财务官"
"ekvizet"	"问荆"	""	""	"问荆"	"pejvo"	"3"	"问荆"
"bigarel"	"脆樱"	""	""	"脆樱"	"piv"	"3"	"脆樱"
"falun"	"贝岩"	""	""	"贝岩"	"piv"	"3"	"贝岩"
"plankton"	"浮游"	""	""	"浮游"	"pejvo"	"3"	"浮游"
"akvarel"	"水彩"	""	""	"水彩"	"pejvo"	"3"	"水彩"
"langvor"	"倦"	""	""	"倦"	"pejvo"	"3"	"倦"
"psitak"	"鹦鹉"	""	""	"鹦鹉"	"piv"	"3"	"鹦鹉"
"polip"	"息肉"	""	""	"息肉"	"pejvo"	"3"	"息肉"
"pund"	"镑"	""	""	"镑"	"pejvo"	"2"	"镑"
"sterling"	"镑"	"s"	"ˢ"	"镑ˢ"	"pejvo"	"3"	"镑"
"peon"	"卒"	""	""	"卒"	"pejvo"	"3"	"卒"
"dezajn"	"设计"	""	""	"设计"	"piv"	"3"	"设计"
"gazon"	"草坪"	""	""	"草坪"	"pejvo"	"3"	"草坪"
"le"	"背风"	""	""	"背风"	"piv"	"3"	"背风"
"telfer"	"缆路"	""	""	"缆路"	"pejvo"	"3"	"缆路"
"ostag^"	"人质"	""	""	"人质"	"pejvo"	"3"	"人质"
"aprior"	"先"	""	""	"先"	"pejvo"	"3"	"先"
"geodezi"	"测地"	""	""	"测地"	"pejvo"	"3"	"测地"
"lavend"	"香草"	""	""	"香草"	"pejvo"	"3"	"香草"
"eu^genik"	"优生"	""	""	"优生"	"pejvo"	"3"	"优生"
"stim"	"估"	""	""	"估"	"piv"	"3"	"估"
"ambos"	"铁床"	""	""	"铁床"	"pejvo"	"3"	"铁床"
"hura"	"万岁"	""	""	"万岁"	"pejvo"	"3"	"万岁"
"bum"	"帆杆"	""	""	"帆杆"	"pejvo"	"3"	"帆杆"
"kras^"	"坠"	""	""	"坠"	"pejvo"	"3"	"坠"
"pistak"	"开心果"	""	""	"开心果"	"pejvo"	"3"	"开心果"
"rikan"	"讥"	""	""	"讥"	"pejvo"	"3"	"讥"
"dun"	"沙丘"	""	""	"沙丘"	"pejvo"	"3"	"沙丘"
"demisi"	"辞"	""	""	"辞"	"pejvo"	"3"	"辞"
"prot"	"质子"	""	""	"质子"	"pejvo"	"3"	"质子"
"bojkot"	"抵制"	""	""	"抵制"	"pejvo"	"3"	"抵制"
"istm"	"峡"	""	""	"峡"	"pejvo"	"3"	"峡"
"ravin"	"峡"	"r"	"ᴿ"	"峡ᴿ"	"pejvo"	"2"	"峡"
"knid"	"刺胞"	""	""	"刺胞"	"piv"	"3"	"刺胞"
"labil"	"易变"	""	""	"易变"	"pejvo"	"3"	"易变"
"celsius"	"摄氏"	""	""	"摄氏"	"pejvo"	"3"	"摄氏"
"gliptik"	"玉雕"	""	""	"玉雕"	"pejvo"	"3"	"玉雕"
"visk"	"寄"	""	""	"寄"	"pejvo"	"3"	"寄"
"konsign"	"寄"	"k"	"ᴷ"	"寄ᴷ"	"piv"	"2"	"寄"
"laf"	"熔岩"	""	""	"熔岩"	"pejvo"	"3"	"熔岩"
"sfinks"	"狮面"	""	""	"狮面"	"pejvo"	"3"	"狮面"
"karj"	"山核桃"	""	""	"山核桃"	"piv"	"2"	"山核桃"
"pekan"	"山核桃"	"p"	"ᴾ"	"山核桃ᴾ"	"piv"	"3"	"山核桃"
"retrat"	"取"	""	""	"取"	"pejvo"	"2"	"取"
"fasm"	"竹节虫"	""	""	"竹节虫"	"piv"	"2"	"竹节虫"
"solfeg^"	"唱名"	""	""	"唱名"	"piv"	"2"	"唱名"
"kompuls"	"逼"	""	""	"逼"	"piv"	"2"	"逼"
"s^ibu"	"柿涩"	""	""	"柿涩"	"piv"	"2"	"柿涩"
"au^reol"	"光环"	""	""	"光环"	"pejvo"	"2"	"光环"
"polis"	"保单"	""	""	"保单"	"pejvo"	"2"	"保单"
"astat"	"无定"	""	""	"无定"	"pejvo"	"2"	"无定"
"grak"	"啼"	""	""	"啼"	"pejvo"	"2"	"啼"
"kokerik"	"啼"	"k"	"ᴷ"	"啼ᴷ"	"pejvo"	"2"	"啼"
"sakrament"	"圣礼"	""	""	"圣礼"	"pejvo"	"2"	"圣礼"
"cimbal"	"铜盘"	""	""	"铜盘"	"pejvo"	"2"	"铜盘"
"groc"	"罗"	""	""	"罗"	"pejvo"	"2"	"罗"
"pojn"	"腕"	""	""	"腕"	"pejvo"	"2"	"腕"
"tamburin"	"铃鼓"	""	""	"铃鼓"	"pejvo"	"2"	"铃鼓"
"lisp"	"咬舌"	""	""	"咬舌"	"pejvo"	"2"	"咬舌"
"eu^roparlament"	"欧议"	""	""	"欧议"	"pejvo"	"2"	"欧议"
"muskardin"	"僵病"	""	""	"僵病"	"piv"	"2"	"僵病"
"mikoz"	"菌症"	""	""	"菌症"	"pejvo"	"2"	"菌症"
"grenat"	"石榴"	""	""	"石榴"	"pejvo"	"2"	"石榴"
"epope"	"史诗"	""	""	"史诗"	"pejvo"	"2"	"史诗"
"epik"	"史诗"	"ek"	"ᴱᴷ"	"史诗ᴱᴷ"	"piv"	"2"	"史诗"
"obstetrik"	"产科"	""	""	"产科"	"pejvo"	"2"	"产科"
"toast"	"烤包"	""	""	"烤包"	"pejvo"	"2"	"烤包"
"g^iraf"	"颈鹿"	""	""	"颈鹿"	"pejvo"	"2"	"颈鹿"
"sfing"	"天蛾"	""	""	"天蛾"	"piv"	"2"	"天蛾"
"dierez"	"分音"	""	""	"分音"	"pejvo"	"2"	"分音"
"demagog"	"煽动"	""	""	"煽动"	"pejvo"	"2"	"煽动"
"demagogi"	"煽动"	"di"	"ᴰᴵ"	"煽动ᴰᴵ"	"pejvo"	"2"	"煽动"
"satirus"	"羊神"	""	""	"羊神"	"pejvo"	"2"	"羊神"
"matriark"	"母系"	""	""	"母系"	"piv"	"2"	"母系"
"pedikur"	"修脚"	""	""	"修脚"	"piv"	"2"	"修脚"
"gri"	"碎粒"	""	""	"碎粒"	"pejvo"	"2"	"碎粒"
"lime"	"青柠"	""	""	"青柠"	"piv"	"2"	"青柠"
"laser"	"激光"	""	""	"激光"	"pejvo"	"2"	"激光"
"rozari"	"念珠"	""	""	"念珠"	"pejvo"	"2"	"念珠"
"sumo"	"相扑"	""	""	"相扑"	"pejvo"	"2"	"相扑"
"makrop"	"袋鼠"	""	""	"袋鼠"	"pejvo"	"2"	"袋鼠"
"kanguru"	"袋鼠"	"k"	"ᴷ"	"袋鼠ᴷ"	"pejvo"	"2"	"袋鼠"
"podagr"	"痛风"	""	""	"痛风"	"pejvo"	"2"	"痛风"
"stau^l"	"失速"	""	""	"失速"	"pejvo"	"2"	"失速"
"hemisfer"	"半球"	""	""	"半球"	"pejvo"	"2"	"半球"
"operator"	"算子"	""	""	"算子"	"piv"	"2"	"算子"
"arc^"	"弓"	""	""	"弓"	"pejvo"	"2"	"弓"
"letargi"	"嗜睡"	""	""	"嗜睡"	"pejvo"	"2"	"嗜睡"
"kapitol"	"议堂"	""	""	"议堂"	"pejvo"	"2"	"议堂"
"lol"	"毒麦"	""	""	"毒麦"	"pejvo"	"2"	"毒麦"
"ejgen"	"特征"	""	""	"特征"	"piv"	"2"	"特征"
"grac"	"恩"	""	""	"恩"	"pejvo"	"2"	"恩"
"dajmon"	"神灵"	""	""	"神灵"	"piv"	"2"	"神灵"
"koni"	"毒参"	""	""	"毒参"	"pejvo"	"2"	"毒参"
"statut"	"章程"	""	""	"章程"	"pejvo"	"2"	"章程"
"angin"	"咽炎"	""	""	"咽炎"	"pejvo"	"2"	"咽炎"
"aprez"	"赏"	""	""	"赏"	"pejvo"	"2"	"赏"
"gratifik"	"赏"	"g"	"ᴳ"	"赏ᴳ"	"pejvo"	"2"	"赏"
"enurez"	"遗尿"	""	""	"遗尿"	"pejvo"	"2"	"遗尿"
"lakmus"	"石蕊"	""	""	"石蕊"	"pejvo"	"2"	"石蕊"
"prajm"	"引爆"	""	""	"引爆"	"pejvo"	"2"	"引爆"
"volovan"	"酥盒"	""	""	"酥盒"	"pejvo"	"2"	"酥盒"
"gimnosperm"	"裸子"	""	""	"裸子"	"pejvo"	"2"	"裸子"
"inkub"	"梦魔"	""	""	"梦魔"	"pejvo"	"2"	"梦魔"
"papilom"	"乳头瘤"	""	""	"乳头瘤"	"pejvo"	"2"	"乳头瘤"
"streptokok"	"链球菌"	""	""	"链球菌"	"pejvo"	"2"	"链球菌"
"virtuoz"	"匠"	""	""	"匠"	"pejvo"	"2"	"匠"
"stumbl"	"绊"	""	""	"绊"	"pejvo"	"2"	"绊"
"ceb"	"猴"	""	""	"猴"	"piv"	"1"	"猴"
"aot"	"猴"	"a"	"ᴬ"	"猴ᴬ"	"piv"	"1"	"猴"
"atel"	"猴"	"al"	"ᴬᴸ"	"猴ᴬᴸ"	"piv"	"1"	"猴"
"titi"	"猴"	"t"	"ᵀ"	"猴ᵀ"	"piv"	"1"	"猴"
"resus"	"猴"	"r"	"ᴿ"	"猴ᴿ"	"piv"	"2"	"猴"
"hapal"	"猴"	"h"	"ᴴ"	"猴ᴴ"	"piv"	"1"	"猴"
"kolob"	"猴"	"k"	"ᴷ"	"猴ᴷ"	"piv"	"1"	"猴"
"aluat"	"猴"	"at"	"ᴬᵀ"	"猴ᴬᵀ"	"piv"	"1"	"猴"
"entel"	"猴"	"e"	"ᴱ"	"猴ᴱ"	"piv"	"1"	"猴"
"gibon"	"猴"	"g"	"ᴳ"	"猴ᴳ"	"piv"	"1"	"猴"
"indri"	"猴"	"i"	"ᴵ"	"猴ᴵ"	"piv"	"1"	"猴"
"loris"	"猴"	"l"	"ᴸ"	"猴ᴸ"	"piv"	"1"	"猴"
"magot"	"猴"	"m"	"ᴹ"	"猴ᴹ"	"piv"	"1"	"猴"
"tarsi"	"猴"	"tr"	"ᵀᴿ"	"猴ᵀᴿ"	"piv"	"1"	"猴"
"galag"	"猴"	"gl"	"ᴳᴸ"	"猴ᴳᴸ"	"piv"	"1"	"猴"
"hulman"	"猴"	"hl"	"ᴴᴸ"	"猴ᴴᴸ"	"piv"	"1"	"猴"
"piteci"	"猴"	"p"	"ᴾ"	"猴ᴾ"	"piv"	"1"	"猴"
"kaliceb"	"猴"	"kc"	"ᴷᶜ"	"猴ᴷᶜ"	"piv"	"1"	"猴"
"mandril"	"猴"	"mn"	"ᴹᴺ"	"猴ᴹᴺ"	"piv"	"1"	"猴"
"presbit"	"猴"	"pr"	"ᴾᴿ"	"猴ᴾᴿ"	"piv"	"1"	"猴"
"sajmiri"	"猴"	"s"	"ˢ"	"猴ˢ"	"piv"	"1"	"猴"
"lagotrik"	"猴"	"lg"	"ᴸᴳ"	"猴ᴸᴳ"	"piv"	"1"	"猴"
"kalitriks"	"猴"	"kt"	"ᴷᵀ"	"猴ᴷᵀ"	"piv"	"1"	"猴"
"orangutan"	"猴"	"o"	"ᴼ"	"猴ᴼ"	"piv"	"1"	"猴"
"parantrop"	"猴"	"pn"	"ᴾᴺ"	"猴ᴾᴺ"	"piv"	"1"	"猴"
"simfalang"	"猴"	"sm"	"ˢᴹ"	"猴ˢᴹ"	"piv"	"1"	"猴"
"cerkopitek"	"猴"	"cr"	"ᶜᴿ"	"猴ᶜᴿ"	"piv"	"1"	"猴"
"au^stralopitek"	"猴"	"aŭ"	"ᴬᵁ̆"	"猴ᴬᵁ̆"	"piv"	"1"	"猴"
"platform"	"纲领"	""	""	"纲领"	"pejvo"	"2"	"纲领"
"barit"	"重晶石"	""	""	"重晶石"	"pejvo"	"2"	"重晶石"
"anamorfoz"	"变形"	""	""	"变形"	"piv"	"2"	"变形"
"monofizit"	"一性"	""	""	"一性"	"piv"	"2"	"一性"
"timian"	"百里香"	""	""	"百里香"	"pejvo"	"2"	"百里香"
"skold"	"斥"	""	""	"斥"	"piv"	"2"	"斥"
"aspiraci"	"送气"	""	""	"送气"	"piv"	"2"	"送气"
"pletor"	"多血"	""	""	"多血"	"pejvo"	"2"	"多血"
"rota"	"皇院"	""	""	"皇院"	"piv"	"2"	"皇院"
"skizoid"	"分裂"	""	""	"分裂"	"pejvo"	"2"	"分裂"
"sternum"	"胸骨"	""	""	"胸骨"	"pejvo"	"2"	"胸骨"
"balg"	"风箱"	""	""	"风箱"	"pejvo"	"2"	"风箱"
"eskar"	"焦疤"	""	""	"焦疤"	"piv"	"2"	"焦疤"
"ambigu"	"歧义"	""	""	"歧义"	"piv"	"2"	"歧义"
"uncial"	"书体"	""	""	"书体"	"piv"	"2"	"书体"
"mileni"	"千年"	""	""	"千年"	"piv"	"2"	"千年"
"duplikat"	"副本"	""	""	"副本"	"pejvo"	"2"	"副本"
"prospektor"	"探矿"	""	""	"探矿"	"piv"	"2"	"探矿"
"kiropraktik"	"整脊"	""	""	"整脊"	"piv"	"2"	"整脊"
"simultan"	"同时"	""	""	"同时"	"pejvo"	"2"	"同时"
"sofism"	"诡辩"	""	""	"诡辩"	"pejvo"	"2"	"诡辩"
"cug"	"铁杉"	""	""	"铁杉"	"piv"	"2"	"铁杉"
"epoksi"	"环氧"	""	""	"环氧"	"piv"	"2"	"环氧"
"diazoni"	"重氮"	""	""	"重氮"	"piv"	"2"	"重氮"
"j^artel"	"吊袜"	""	""	"吊袜"	"pejvo"	"2"	"吊袜"
"oratori"	"清唱剧"	""	""	"清唱剧"	"piv"	"2"	"清唱剧"
"junkr"	"地主"	""	""	"地主"	"pejvo"	"2"	"地主"
"arier"	"后卫"	""	""	"后卫"	"pejvo"	"2"	"后卫"
"fikus"	"榕"	""	""	"榕"	"piv"	"2"	"榕"
"harmonium"	"风琴"	""	""	"风琴"	"pejvo"	"2"	"风琴"
"kolh^oz"	"农社"	""	""	"农社"	"pejvo"	"2"	"农社"
"kvorum"	"足数"	""	""	"足数"	"pejvo"	"2"	"足数"
"adiant"	"铁线草"	""	""	"铁线草"	"pejvo"	"2"	"铁线草"
"veterinar"	"兽医"	""	""	"兽医"	"pejvo"	"2"	"兽医"
"lagoftalm"	"兔眼"	""	""	"兔眼"	"piv"	"2"	"兔眼"
"mamon"	"财魔"	""	""	"财魔"	"pejvo"	"2"	"财魔"
"j^akard"	"提花"	""	""	"提花"	"piv"	"2"	"提花"
"benjet"	"炸糕"	""	""	"炸糕"	"piv"	"2"	"炸糕"
"karmezin"	"深红"	""	""	"深红"	"pejvo"	"2"	"深红"
"trogon"	"咬鹃"	""	""	"咬鹃"	"piv"	"2"	"咬鹃"
"ancilostom"	"钩虫"	""	""	"钩虫"	"piv"	"2"	"钩虫"
"kolimat"	"准直"	""	""	"准直"	"pejvo"	"2"	"准直"
"propil"	"丙"	""	""	"丙"	"piv"	"2"	"丙"
"iktiosau^r"	"鱼龙"	""	""	"鱼龙"	"pejvo"	"2"	"鱼龙"
"buf"	"蛤蟆"	""	""	"蛤蟆"	"pejvo"	"2"	"蛤蟆"
"stafilokok"	"葡萄球菌"	""	""	"葡萄球菌"	"pejvo"	"2"	"葡萄球菌"
"korak"	"渡鸦"	""	""	"渡鸦"	"pejvo"	"2"	"渡鸦"
"kantarel"	"鸡油菌"	""	""	"鸡油菌"	"pejvo"	"2"	"鸡油菌"
"duet"	"二重"	""	""	"二重"	"pejvo"	"2"	"二重"
"koopt"	"增补"	""	""	"增补"	"piv"	"2"	"增补"
"serenad"	"小夜曲"	""	""	"小夜曲"	"pejvo"	"2"	"小夜曲"
"dafn"	"瑞香"	""	""	"瑞香"	"pejvo"	"2"	"瑞香"
"legionel"	"军团菌"	""	""	"军团菌"	"piv"	"2"	"军团菌"
"kontumac"	"缺席"	""	""	"缺席"	"piv"	"2"	"缺席"
"hag^"	"朝拜"	""	""	"朝拜"	"pejvo"	"2"	"朝拜"
"bilg^"	"舱底"	""	""	"舱底"	"pejvo"	"2"	"舱底"
"mejoz"	"减分"	""	""	"减分"	"piv"	"2"	"减分"
"iskiat"	"坐神"	""	""	"坐神"	"piv"	"2"	"坐神"
"kornet"	"短号"	""	""	"短号"	"pejvo"	"2"	"短号"
"konfront"	"对质"	""	""	"对质"	"pejvo"	"2"	"对质"
"arpeg^"	"散音"	""	""	"散音"	"pejvo"	"2"	"散音"
"feniks"	"凤"	""	""	"凤"	"pejvo"	"2"	"凤"
"eu^trof"	"富养"	""	""	"富养"	"pejvo"	"2"	"富养"
"aleksi"	"失读"	""	""	"失读"	"piv"	"2"	"失读"
"poligon"	"多角"	""	""	"多角"	"pejvo"	"2"	"多角"
"aloj"	"合金"	""	""	"合金"	"pejvo"	"2"	"合金"
"sonet"	"十四行诗"	""	""	"十四行诗"	"pejvo"	"2"	"十四行诗"
"divorc"	"离婚"	""	""	"离婚"	"pejvo"	"2"	"离婚"
"strongil"	"圆虫"	""	""	"圆虫"	"piv"	"2"	"圆虫"
"presbiterian"	"长老"	""	""	"长老"	"pejvo"	"2"	"长老"
"seroz"	"浆膜"	""	""	"浆膜"	"piv"	"2"	"浆膜"
"verumontan"	"精丘"	""	""	"精丘"	"piv"	"2"	"精丘"
"numulit"	"钱虫"	""	""	"钱虫"	"piv"	"2"	"钱虫"
"tamtam"	"锣"	""	""	"锣"	"pejvo"	"2"	"锣"
"filadelf"	"山梅花"	""	""	"山梅花"	"pejvo"	"2"	"山梅花"
"gofr"	"压花"	""	""	"压花"	"piv"	"2"	"压花"
"s^raman"	"苦僧"	""	""	"苦僧"	"piv"	"2"	"苦僧"
"salpetr"	"硝"	""	""	"硝"	"pejvo"	"2"	"硝"
"kameleon"	"变色龙"	""	""	"变色龙"	"pejvo"	"2"	"变色龙"
"h^ameleon"	"变色龙"	"ĥ"	"ᴴ̂"	"变色龙ᴴ̂"	"pejvo"	"2"	"变色龙"
"temperament"	"禀"	""	""	"禀"	"pejvo"	"2"	"禀"
"smut"	"黑穗病"	""	""	"黑穗病"	"pejvo"	"2"	"黑穗病"
"bigarad"	"酸橙"	""	""	"酸橙"	"piv"	"2"	"酸橙"
"rang^"	"调车"	""	""	"调车"	"piv"	"2"	"调车"
"ankiloz"	"关节强直"	""	""	"关节强直"	"pejvo"	"2"	"关节强直"
