"root","k","id","band","F"
"doktrin","教义","","pejvo","4"
"raviol","饺","","pejvo","4"
"zingibr","姜","","pejvo","4"
"dekolt","低领","","pejvo","4"
"prism","棱镜","","pejvo","4"
"konjunktur","景气","","pejvo","4"
"cinik","冷笑","","pejvo","4"
"periferi","周边","","pejvo","4"
"edif","教化","","pejvo","4"
"pigment","色素","","pejvo","4"
"dekant","倾析","","pejvo","4"
"romantik","浪漫","","pejvo","4"
"konkub","内缘","","pejvo","4"
"j^ud","柔道","","pejvo","4"
"tekton","硬木","","piv","4"
"perpleks","惑","","pejvo","4"
"kac","阳具","","piv","4"
"falus","阳具","f","piv","3"
"gilos^","编纹","","pejvo","4"
"radius","半径","","pejvo","4"
"dodeka","十二","","piv","4"
"s^unt","分流","","pejvo","4"
"aplanat","无差","","pejvo","4"
"vener","性病","","pejvo","4"
"akaci","金合欢","","pejvo","4"
"globul","血球","","pejvo","4"
"akaj^u","腰果","","pejvo","4"
"adstring","涩","","pejvo","4"
"sezam","芝麻","","pejvo","4"
"stopl","茬","","pejvo","4"
"brok","锦","","pejvo","4"
"amplifik","增幅","","pejvo","4"
"kastr","去势","","pejvo","4"
"sor","腾","","pejvo","4"
"sakr","骂","","pejvo","4"
"salping","卵管","","pejvo","4"
"snob","势利","","pejvo","4"
"pau^s","摹","","pejvo","4"
"demenc","痴","","pejvo","4"
"kreten","痴","k","pejvo","2"
"imbecil","痴","i","piv","2"
"paled","托盘","","pejvo","4"
"despot","专制","","pejvo","4"
"eklektik","折衷","","pejvo","4"
"glac^er","冰川","","piv","4"
"amoniak","氨","","pejvo","4"
"lab","皱胃","","piv","4"
"glicerin","甘油","","pejvo","4"
"glicerol","甘油","gl","pejvo","3"
"glicer","甘油","gc","piv","3"
"acer","枫","","pejvo","4"
"observatori","天文台","","pejvo","4"
"premis","前提","","pejvo","4"
"jogurt","酸乳","","pejvo","4"
"ardez","板岩","","pejvo","4"
"cedr","雪松","","pejvo","4"
"himalaj","雪松","h","pejvo","2"
"uta","歌","","pejvo","4"
"diagnoz","诊断","","pejvo","4"
"relikv","遗物","","pejvo","4"
"amput","截","","pejvo","4"
"cintr","拱架","","piv","4"
"urn","缸","","pejvo","4"
"arorut","葛","","pejvo","4"
"somnol","眠","","piv","3"
"molar","臼","","pejvo","3"
"agnostik","不可知","","pejvo","3"
"metropol","都","","pejvo","3"
"vanil","香兰","","pejvo","3"
"s^pal","枕","","pejvo","3"
"araknoid","蛛膜","","pejvo","3"
"lukr","赚","","piv","3"
"spindel","纺锤","","pejvo","3"
"dut","二度","","pejvo","3"
"gingiv","牙肉","","pejvo","3"
"artez","自流","","pejvo","3"
"oniks","玛瑙","","pejvo","3"
"spele","窟","","pejvo","3"
"kalend","初一","","pejvo","3"
"vampir","吸血鬼","","pejvo","3"
"fini","限","","piv","3"
"restrikt","限","r","piv","3"
"kuret","刮匙","","piv","3"
"kodon","密码子","","piv","3"
"trace","轴线","","piv","3"
"brez","闷","","piv","3"
"pustul","脓泡","","pejvo","3"
"plag^","滩","","pejvo","3"
"cikut","毒芹","","pejvo","3"
"lord","卿","","pejvo","3"
"karob","角豆","","pejvo","3"
"kaligraf","书法","","piv","3"
"erik","石南","","pejvo","3"
"fau^lt","断层","","piv","3"
"biceps","二头肌","","pejvo","3"
"peruk","假发","","pejvo","3"
"glutam","谷氨","","piv","3"
"punkci","穿刺","","pejvo","3"
"granit","花岗岩","","pejvo","3"
"limon","柠檬","","pejvo","3"
"bluf","唬","","pejvo","3"
"makadam","碎石","","pejvo","3"
"sutur","缝合","","piv","3"
"induktanc","电感","","pejvo","3"
"oktav","八度","","pejvo","3"
"okt","八度","ok","piv","2"
"marketr","嵌","","pejvo","3"
"inkrust","嵌","i","pejvo","3"
"damasken","嵌","d","pejvo","2"
"turkis","碧","","pejvo","3"
"gres","牧草","","pejvo","3"
"medikag","牧草","m","pejvo","3"
"basbal","棒球","","pejvo","3"
"puritan","清教","","pejvo","3"
"prepuci","包皮","","pejvo","3"
"metro","地铁","","pejvo","3"
"kalcitr","踢","","pejvo","3"
"onk","肿瘤","","piv","3"
"nic^","壁凹","","pejvo","3"
"inkvizici","审判","","pejvo","3"
"prepost","主祭","","pejvo","2"
"pontifik","主祭","pn","pejvo","3"
"flot","舰","","pejvo","3"
"vesel","舰","v","pejvo","2"
"fregat","舰","fr","pejvo","3"
"citrus","柑","","pejvo","3"
"eritrocit","红胞","","pejvo","3"
"korelaci","相关","","pejvo","3"
"korelativ","相关","kt","pejvo","3"
"g^et","堤","","pejvo","3"
"celom","体腔","","piv","3"
"pesticid","农药","","pejvo","3"
"empir","帝风","","pejvo","3"
"zebr","斑马","","pejvo","3"
"pis^t","活塞","","pejvo","3"
"batu","围猎","","piv","3"
"c^am","羚","","pejvo","3"
"antilop","羚","a","pejvo","2"
"cefalaspid","头甲","","piv","3"
"s^rot","粗粉","","piv","3"
"trad","信风","","pejvo","3"
"alize","信风","a","piv","2"
"renesanc","复兴","","pejvo","3"
"hegemoni","霸","","pejvo","3"
"kardan","万向","","pejvo","3"
"retrospektiv","顾","","pejvo","3"
"municip","邑","","pejvo","3"
"amorfofal","魔芋","","pejvo","3"
"duoden","十二指肠","","pejvo","3"
"karoten","萝卜素","","piv","3"
"infest","患","","piv","3"
"fetic^","物神","","pejvo","3"
"spiril","螺菌","","pejvo","3"
"obez","胖","","pejvo","3"
"korpulent","胖","k","pejvo","2"
"gavi","潜鸟","","pejvo","3"
"greb","潜鸟","gr","piv","2"
"podicip","潜鸟","p","piv","2"
"parodi","戏仿","","pejvo","3"
"travesti","戏仿","t","pejvo","3"
"epitom","抄","","pejvo","3"
"haspel","绕","","piv","3"
"katastr","地籍","","pejvo","3"
"s^agrin","鲨皮","","pejvo","3"
"krisol","熔锅","","pejvo","3"
"atut","王牌","","pejvo","3"
"forniks","脑弓","","pejvo","3"
"krop","食袋","","pejvo","3"
"ananas","菠萝","","pejvo","3"
"skafandr","潜衣","","pejvo","3"
"knik","座屈","","piv","3"
"remork","拖车","","piv","3"
"c^ambelan","侍臣","","pejvo","3"
"verdigr","铜绿","","pejvo","3"
"tempi","侧头","","pejvo","3"
"bagag^","行李","","pejvo","3"
"introspekt","内省","","pejvo","3"
"brig","双帆船","","pejvo","3"
"gliciriz","甘草","","pejvo","3"
"tabet","脊髓病","","piv","3"
"kolb","托","","pejvo","2"
"korbel","托","kr","pejvo","3"
"devalut","贬","","pejvo","2"
"deprec","贬","dp","piv","3"
"cekum","盲肠","","pejvo","3"
"stigmat","痕","","pejvo","3"
"tau^tomer","互变","","piv","3"
"parotid","腮腺","","pejvo","3"
"mercer","针线","","pejvo","3"
"procelari","海燕","","piv","3"
"kist","囊肿","","pejvo","3"
"pteraspid","翼甲","","piv","3"
"iriz","虹","","pejvo","3"
"etos","氛","","pejvo","3"
"setl","居","","piv","3"
"silvi","莺","","pejvo","3"
"racem","消旋","","piv","3"
"molusk","软体","","pejvo","3"
"ladan","香脂","","piv","3"
"klis^","铸版","","pejvo","3"
"kliv","劈","","pejvo","3"
"goril","猩","","pejvo","3"
"napalm","凝油","","pejvo","3"
"serp","割","","pejvo","3"
"sekant","割","sk","pejvo","2"
"polm","掌","","pejvo","3"
"penis","阴茎","","pejvo","3"
"but","培","","pejvo","3"
"tac^ment","遣","","pejvo","3"
"sensaci","轰动","","pejvo","3"
"hurl","嚎","","pejvo","3"
"ulul","嚎","u","pejvo","3"
"iredent","待收","","pejvo","3"
"kalistegi","旋花","","pejvo","3"
"lami","野芝麻","","pejvo","3"
"gumigut","藤黄","","pejvo","3"
"arakid","花生","","pejvo","3"
"atribu","归","","pejvo","3"
"sarkom","肉瘤","","piv","3"
"galon","饰带","","pejvo","2"
"pasament","饰带","p","pejvo","3"
"gonokok","淋菌","","pejvo","3"
"brankard","担架","","pejvo","3"
"svelt","苗条","","pejvo","3"
"hajk","短诗","","pejvo","3"
"tranc","附身","","pejvo","3"
"transpir","蒸","","piv","3"
"izotop","同位素","","pejvo","3"
"streb","奋","","pejvo","3"
"papirus","纸草","","pejvo","2"
"papir","纸草","pa","piv","3"
"vinc^","绞","","pejvo","3"
"strangol","绞","s","pejvo","3"
"bordel","妓院","","pejvo","3"
"meleagr","火鸡","","pejvo","3"
"globulin","球蛋白","","piv","3"
"kiv","猴桃","","pejvo","3"
"aktinidi","猴桃","a","piv","2"
"meger","悍妇","","pejvo","3"
"prestidigit","戏法","","pejvo","3"
"j^argon","黑话","","pejvo","3"
"kopul","交配","","piv","3"
"trigonometri","三角","","pejvo","3"
"trigon","三角","tr","piv","2"
"ektopi","异位","","pejvo","3"
"providenc","佑","","pejvo","3"
"trepan","钻颅","","pejvo","3"
"abism","渊","","pejvo","3"
"jakv","菠萝蜜","","piv","3"
"trinitr","三硝","","piv","3"
"facet","刻面","","pejvo","3"
"kolesterol","胆醇","","pejvo","3"
"mimik","拟","","pejvo","3"
"simul","拟","s","pejvo","3"
"arbut","红果","","pejvo","3"
"hipofiz","垂体","","piv","3"
"bent","底栖","","piv","3"
"serpenten","蛇纹石","","piv","3"
"c^antag^","讹","","pejvo","3"
"uzukap","时效","","pejvo","2"
"preskript","时效","p","pejvo","3"
"somnambul","梦游","","pejvo","3"
"sponsor","援","","pejvo","3"
"stokast","随机","","piv","3"
"domicil","住所","","pejvo","3"
"vekt","杠","","pejvo","3"
"klarion","嘹","","pejvo","3"
"manufaktur","造","","pejvo","3"
"meridian","子午","","pejvo","3"
"kaolin","瓷土","","pejvo","3"
"viscer","脏","","pejvo","3"
"lind","娇","","piv","3"
"diamagnet","反磁","","pejvo","3"
"dinasti","朝","","pejvo","3"
"tarz","眼板","","piv","3"
"ur","原牛","","pejvo","3"
"kak","屎","","pejvo","2"
"merd","屎","m","piv","3"
"misil","导弹","","pejvo","3"
"briz","微风","","pejvo","2"
"zefir","微风","z","pejvo","3"
"ranc","哈喇","","pejvo","3"
"irigaci","水渠","","pejvo","3"
"karmin","洋红","","pejvo","3"
"munici","弹药","","pejvo","3"
"stek","肉排","","piv","3"
"volatil","挥发","","pejvo","3"
"ordin","叙","","pejvo","3"
"plantag","车前","","pejvo","3"
"alotrop","异形","","piv","3"
"ogiv","尖拱","","pejvo","3"
"fring","燕雀","","pejvo","3"
"lepr","麻风","","pejvo","3"
"rabarb","大黄","","pejvo","3"
"leu^kocit","白胞","","pejvo","3"
"stipendi","助学","","pejvo","3"
"buljon","高汤","","pejvo","3"
"mote","蛾","","piv","3"
"aklam","欢呼","","pejvo","3"
"treponem","密螺旋体","","piv","3"
"mastik","腻子","","pejvo","3"
"surf","冲浪","","pejvo","3"
"filari","丝虫","","piv","3"
"ekzegez","释","","pejvo","3"
"eksplik","释","es","pejvo","2"
"eksplic","释","ec","piv","2"
"prodig","慷","","pejvo","3"
"lien","脾","","pejvo","3"
"juniper","杜松","","pejvo","3"
"sabin","杜松","s","piv","2"
"impetig","脓疮","","piv","3"
"averag^","均","","pejvo","3"
"konstelaci","星座","","pejvo","3"
"psikiatri","心医","","pejvo","3"
"sentimental","感伤","","pejvo","3"
"feromagnet","铁磁","","pejvo","3"
"tang","颠","","pejvo","3"
"atrop","颠","a","piv","3"
"iski","坐骨","","pejvo","3"
"perpendikl","垂","","pejvo","2"
"perpendikular","垂","pr","pejvo","3"
"ptoz","垂","pt","piv","2"
"makaroni","管面","","pejvo","3"
"pralin","仁糖","","piv","3"
"konjunktiv","结膜","","pejvo","3"
"aort","主脉","","pejvo","3"
"beat","福","","pejvo","3"
"elize","福","e","pejvo","3"
"kupel","炼","","piv","3"
"afinaci","炼","a","piv","2"
"patriot","爱国","","pejvo","3"
"musked","火枪","","pejvo","3"
"musket","火枪","mt","pejvo","2"
"siren","警笛","","pejvo","3"
"neu^rolept","安神","","piv","3"
"dialektik","辩证","","pejvo","3"
"amni","羊膜","","piv","3"
"signifik","著","","piv","2"
"signifikanc","著","sn","piv","3"
"ipek","吐根","","piv","3"
"sankci","制裁","","pejvo","3"
"disdegn","蔑","","piv","3"
"persimon","柿","","pejvo","2"
"kakinok","柿","k","piv","3"
"diospir","柿","d","piv","2"
"s^tanc","冲压","","piv","3"
"dikro","二色","","piv","3"
"prokariot","原核","","piv","3"
"protozo","原兽","","pejvo","3"
"sortiment","品类","","pejvo","3"
"askarid","回虫","","pejvo","3"
"pomp","豪","","pejvo","3"
"s^ik","帅","","pejvo","3"
"diplo","板障","","piv","3"
"artikulaci","发音","","piv","3"
"buks","黄杨","","pejvo","3"
"fiakr","马车","","pejvo","3"
"faeton","马车","ft","pejvo","2"
"obstrukc","阻","","pejvo","3"
"sambuk","接骨","","pejvo","3"
"endivi","苦菜","","pejvo","3"
"sektor","域","","pejvo","3"
"iteraci","迭","","pejvo","3"
"mang","芒果","","pejvo","3"
"kompos^t","堆肥","","pejvo","3"
"pedant","迂","","pejvo","3"
"rikur","递归","","piv","3"
"petrosel","香芹","","pejvo","3"
"paramagnet","顺磁","","pejvo","3"
"korus","合唱","","pejvo","3"
"bariton","男中音","","pejvo","3"
"lobi","游说","","pejvo","3"
"uretr","尿道","","pejvo","3"
"turbid","浊","","piv","3"
"astigmat","散光","","pejvo","3"
"melis","蜂草","","pejvo","3"
"guvern","教养","","pejvo","3"
"kondiment","佐","","pejvo","3"
"hibisk","芙蓉","","pejvo","3"
"absces","脓肿","","pejvo","3"
"klerikal","教权","","pejvo","3"
"anastomoz","吻合","","piv","3"
"mandarin","橘","","pejvo","3"
"karpel","心皮","","piv","3"
"kolaps","崩","","pejvo","3"
"flus","涨","","pejvo","3"
"platen","白金","","pejvo","3"
"ans","柄","","pejvo","3"
"stip","柄","s","pejvo","2"
"koc^","红虫","","piv","3"
"c^ikan","刁","","pejvo","3"
"gurd","摇琴","","pejvo","3"
"gasteroste","刺鱼","","pejvo","3"
"stafet","接力","","pejvo","3"
"puber","发育","","piv","3"
"anemon","银莲","","pejvo","3"
"placent","胎盘","","pejvo","3"
"anglikan","圣公","","pejvo","3"
"prote","帝王花","","piv","3"
"lic^i","荔","","piv","3"
"ekskomunik","开除","","pejvo","3"
"mentor","导师","","pejvo","3"
"suna","圣行","","pejvo","3"
"simfoni","交响","","pejvo","3"
"mile","黄米","","pejvo","3"
"eu^kariot","真核","","piv","3"
"resurs","资源","","pejvo","3"
"peoni","牡丹","","pejvo","3"
"rendiment","效率","","pejvo","3"
"bizon","野牛","","pejvo","3"
"sagu","西米","","pejvo","3"
"vals","圆舞","","pejvo","3"
"kreozot","木馏","","pejvo","3"
"nu","嘿","","pejvo","3"
"vehikl","载体","","piv","3"
"kardj","胃门","","piv","3"
"terat","畸","","pejvo","3"
"pleokro","多色","","piv","3"
"kalejdoskop","万花筒","","pejvo","3"
"amnesti","赦","","pejvo","3"
"prokuror","检察","","pejvo","3"
"avangard","前卫","","pejvo","3"
"nekton","自游","","piv","3"
"engag^","聘","","pejvo","3"
"patos","慨","","pejvo","3"
"interpunkci","标点","","pejvo","3"
"emfizem","气肿","","pejvo","3"
"balkon","阳台","","pejvo","3"
"pleu^ronekt","比目鱼","","pejvo","3"
"plane","翼","","pejvo","3"
"vink","蔓春","","pejvo","3"
"astm","喘","","pejvo","3"
"anhel","喘","an","pejvo","2"
"stertor","喘","s","pejvo","2"
"arnik","羊菊","","pejvo","3"
"cirkumcid","割礼","","pejvo","3"
"tore","斗牛","","piv","3"
"pervers","邪","","pejvo","3"
"perversi","邪","pi","pejvo","2"
"spiroket","螺旋体","","pejvo","3"
"simpat","交感","","piv","3"
"kurator","监护","","pejvo","3"
"kolin","胆碱","","piv","3"
"penicilin","青霉素","","pejvo","3"
"avokad","鳄梨","","pejvo","3"
"modlur","线脚","","pejvo","3"
"unitari","一神","","piv","3"
"manikur","美甲","","pejvo","3"
"hidrid","氢化","","piv","3"
"laktuk","生菜","","pejvo","3"
"kamomil","甘菊","","pejvo","3"
"rezignaci","顺","","pejvo","3"
"mung","擦鼻","","pejvo","3"
"rizom","根茎","","pejvo","3"
"alteraci","蚀变","","piv","3"
"porfir","斑岩","","pejvo","3"
"patriark","族长","","pejvo","3"
"mezomer","共振","","piv","3"
"kolik","绞痛","","pejvo","3"
"rur","乡","","pejvo","3"
"bajt","字节","","pejvo","3"
"safran","藏红花","","pejvo","3"
"kimon","和服","","pejvo","3"
"ekspertiz","鉴","","pejvo","3"
"singult","逆气","","pejvo","3"
"ahims","不害","","piv","3"
"fosforesk","磷光","","pejvo","3"
"gargar","漱","","pejvo","3"
"subvenci","补贴","","pejvo","3"
"lofi","蛤蟆鱼","","piv","3"
"ferut","驮","","piv","3"
"plagiat","窃","","pejvo","3"
"zigot","合子","","piv","3"
"fibrin","纤蛋白","","pejvo","3"
"mizogin","厌女","","piv","3"
"kam","凸轮","","pejvo","3"
"au^kci","拍卖","","pejvo","3"
"bok","牡","","pejvo","3"
"orgasm","高潮","","pejvo","3"
"hortikultur","园艺","","pejvo","3"
"rastr","锄","","piv","3"
"kvestor","财务官","","pejvo","3"
"ekvizet","问荆","","pejvo","3"
"bigarel","脆樱","","piv","3"
"falun","贝岩","","piv","3"
"plankton","浮游","","pejvo","3"
"akvarel","水彩","","pejvo","3"
"langvor","倦","","pejvo","3"
"psitak","鹦鹉","","piv","3"
"polip","息肉","","pejvo","3"
"pund","镑","","pejvo","2"
"sterling","镑","s","pejvo","3"
"peon","卒","","pejvo","3"
"dezajn","设计","","piv","3"
"gazon","草坪","","pejvo","3"
"le","背风","","piv","3"
"telfer","缆路","","pejvo","3"
"ostag^","人质","","pejvo","3"
"aprior","先","","pejvo","3"
"geodezi","测地","","pejvo","3"
"lavend","香草","","pejvo","3"
"eu^genik","优生","","pejvo","3"
"stim","估","","piv","3"
"ambos","铁床","","pejvo","3"
"hura","万岁","","pejvo","3"
"bum","帆杆","","pejvo","3"
"kras^","坠","","pejvo","3"
"pistak","开心果","","pejvo","3"
"rikan","讥","","pejvo","3"
"dun","沙丘","","pejvo","3"
"demisi","辞","","pejvo","3"
"prot","质子","","pejvo","3"
"bojkot","抵制","","pejvo","3"
"istm","峡","","pejvo","3"
"ravin","峡","r","pejvo","2"
"knid","刺胞","","piv","3"
"labil","易变","","pejvo","3"
"celsius","摄氏","","pejvo","3"
"gliptik","玉雕","","pejvo","3"
"visk","寄","","pejvo","3"
"konsign","寄","k","piv","2"
"laf","熔岩","","pejvo","3"
"sfinks","狮面","","pejvo","3"
"karj","山核桃","","piv","2"
"pekan","山核桃","p","piv","3"
"retrat","取","","pejvo","2"
"fasm","竹节虫","","piv","2"
"solfeg^","唱名","","piv","2"
"kompuls","逼","","piv","2"
"s^ibu","柿涩","","piv","2"
"au^reol","光环","","pejvo","2"
"polis","保单","","pejvo","2"
"astat","无定","","pejvo","2"
"grak","啼","","pejvo","2"
"kokerik","啼","k","pejvo","2"
"sakrament","圣礼","","pejvo","2"
"cimbal","铜盘","","pejvo","2"
"groc","罗","","pejvo","2"
"pojn","腕","","pejvo","2"
"tamburin","铃鼓","","pejvo","2"
"lisp","咬舌","","pejvo","2"
"eu^roparlament","欧议","","pejvo","2"
"muskardin","僵病","","piv","2"
"mikoz","菌症","","pejvo","2"
"grenat","石榴","","pejvo","2"
"epope","史诗","","pejvo","2"
"epik","史诗","ek","piv","2"
"obstetrik","产科","","pejvo","2"
"toast","烤包","","pejvo","2"
"g^iraf","颈鹿","","pejvo","2"
"sfing","天蛾","","piv","2"
"dierez","分音","","pejvo","2"
"demagog","煽动","","pejvo","2"
"demagogi","煽动","di","pejvo","2"
"satirus","羊神","","pejvo","2"
"matriark","母系","","piv","2"
"pedikur","修脚","","piv","2"
"gri","碎粒","","pejvo","2"
"lime","青柠","","piv","2"
"laser","激光","","pejvo","2"
"rozari","念珠","","pejvo","2"
"sumo","相扑","","pejvo","2"
"makrop","袋鼠","","pejvo","2"
"kanguru","袋鼠","k","pejvo","2"
"mandaren","官话","","pejvo","2"
"podagr","痛风","","pejvo","2"
"stau^l","失速","","pejvo","2"
"repudi","休妻","","pejvo","2"
"hemisfer","半球","","pejvo","2"
"operator","算子","","piv","2"
"arc^","弓","","pejvo","2"
"letargi","嗜睡","","pejvo","2"
"kapitol","议堂","","pejvo","2"
"lol","毒麦","","pejvo","2"
"ejgen","特征","","piv","2"
"grac","恩","","pejvo","2"
"dajmon","神灵","","piv","2"
"koni","毒参","","pejvo","2"
"statut","章程","","pejvo","2"
"angin","咽炎","","pejvo","2"
"aprez","赏","","pejvo","2"
"gratifik","赏","g","pejvo","2"
"enurez","遗尿","","pejvo","2"
"lakmus","石蕊","","pejvo","2"
"prajm","引爆","","pejvo","2"
"volovan","酥盒","","pejvo","2"
"gimnosperm","裸子","","pejvo","2"
"inkub","梦魔","","pejvo","2"
"papilom","乳头瘤","","pejvo","2"
"streptokok","链球菌","","pejvo","2"
"virtuoz","匠","","pejvo","2"
"stumbl","绊","","pejvo","2"
"ceb","猴","","piv","1"
"aot","猴","a","piv","1"
"atel","猴","al","piv","1"
"titi","猴","t","piv","1"
"resus","猴","r","piv","2"
"hapal","猴","h","piv","1"
"kolob","猴","k","piv","1"
"aluat","猴","at","piv","1"
"entel","猴","e","piv","1"
"gibon","猴","g","piv","1"
"indri","猴","i","piv","1"
"loris","猴","l","piv","1"
"magot","猴","m","piv","1"
"tarsi","猴","tr","piv","1"
"galag","猴","gl","piv","1"
"hulman","猴","hl","piv","1"
"piteci","猴","p","piv","1"
"kaliceb","猴","kc","piv","1"
"mandril","猴","mn","piv","1"
"presbit","猴","pr","piv","1"
"sajmiri","猴","s","piv","1"
"lagotrik","猴","lg","piv","1"
"kalitriks","猴","kt","piv","1"
"orangutan","猴","o","piv","1"
"parantrop","猴","pn","piv","1"
"simfalang","猴","sm","piv","1"
"cerkopitek","猴","cr","piv","1"
"au^stralopitek","猴","aŭ","piv","1"
"platform","纲领","","pejvo","2"
"barit","重晶石","","pejvo","2"
"anamorfoz","变形","","piv","2"
"monofizit","一性","","piv","2"
"timian","百里香","","pejvo","2"
"narkotik","麻醉","","pejvo","2"
"aspiraci","送气","","piv","2"
"pletor","多血","","pejvo","2"
"rota","皇院","","piv","2"
"skizoid","分裂","","pejvo","2"
"sternum","胸骨","","pejvo","2"
"balg","风箱","","pejvo","2"
"eskar","焦疤","","piv","2"
"ambigu","歧义","","piv","2"
"uncial","书体","","piv","2"
"mileni","千年","","piv","2"
"duplikat","副本","","pejvo","2"
"agreg","聚","","pejvo","2"
"prospektor","探矿","","piv","2"
"kiropraktik","整脊","","piv","2"
"simultan","同时","","pejvo","2"
"sofism","诡辩","","pejvo","2"
"cug","铁杉","","piv","2"
"epoksi","环氧","","piv","2"
"diazoni","重氮","","piv","2"
"j^artel","吊袜","","pejvo","2"
"oratori","清唱剧","","piv","2"
"junkr","地主","","pejvo","2"
"arier","后卫","","pejvo","2"
"fikus","榕","","piv","2"
"harmonium","风琴","","pejvo","2"
"kolh^oz","农社","","pejvo","2"
"kvorum","足数","","pejvo","2"
"adiant","铁线草","","pejvo","2"
"veterinar","兽医","","pejvo","2"
"lagoftalm","兔眼","","piv","2"
"mamon","财魔","","pejvo","2"
"j^akard","提花","","piv","2"
"benjet","炸糕","","piv","2"
"karmezin","深红","","pejvo","2"
"trogon","咬鹃","","piv","2"
"ancilostom","钩虫","","piv","2"
"kolimat","准直","","pejvo","2"
"propil","丙","","piv","2"
"iktiosau^r","鱼龙","","pejvo","2"
"buf","蛤蟆","","pejvo","2"
"stafilokok","葡萄球菌","","pejvo","2"
"korak","渡鸦","","pejvo","2"
"kantarel","鸡油菌","","pejvo","2"
"duet","二重","","pejvo","2"
"koopt","增补","","piv","2"
"serenad","小夜曲","","pejvo","2"
"dafn","瑞香","","pejvo","2"
"legionel","军团菌","","piv","2"
"kontumac","缺席","","piv","2"
"hag^","朝拜","","pejvo","2"
"bilg^","舱底","","pejvo","2"
"mejoz","减分","","piv","2"
"iskiat","坐神","","piv","2"
"kornet","短号","","pejvo","2"
"konfront","对质","","pejvo","2"
"arpeg^","散音","","pejvo","2"
"feniks","凤","","pejvo","2"
"eu^trof","富养","","pejvo","2"
"aleksi","失读","","piv","2"
"poligon","多角","","pejvo","2"
"aloj","合金","","pejvo","2"
"sonet","十四行诗","","pejvo","2"
"katekiz","诲","","pejvo","2"
"divorc","离婚","","pejvo","2"
"strongil","圆虫","","piv","2"
"presbiterian","长老","","pejvo","2"
"seroz","浆膜","","piv","2"
"verumontan","精丘","","piv","2"
"numulit","钱虫","","piv","2"
"tamtam","锣","","pejvo","2"
"filadelf","山梅花","","pejvo","2"
"gofr","压花","","piv","2"
"s^raman","苦僧","","piv","2"
"salpetr","硝","","pejvo","2"
"kameleon","变色龙","","pejvo","2"
"h^ameleon","变色龙","ĥ","pejvo","2"
"temperament","禀","","pejvo","2"
"smut","黑穗病","","pejvo","2"
"bigarad","酸橙","","piv","2"
"rang^","调车","","piv","2"
"ankiloz","关节强直","","pejvo","2"
"dentin","齿质","","piv","2"
"titr","滴定","","pejvo","2"
"zen","禅","","pejvo","2"
"upas","毒木","","piv","2"
"rangifer","驯鹿","","pejvo","2"
"midz","舔吸","","piv","2"
"sesdeknau^","舔吸","s","piv","2"
"morfem","语素","","pejvo","2"
"remont","补马","","pejvo","2"
"docent","讲师","","pejvo","2"
"atas^e","随员","","pejvo","2"
"epiteli","上皮","","pejvo","2"
"regurgit","反流","","piv","2"
"gencian","龙胆","","pejvo","2"
"hesperornit","黄昏鸟","","piv","2"
"homotet","位似","","piv","2"
"homoteti","位似","hi","piv","2"
"sufle","蛋奶酥","","pejvo","2"
"belon","针鱼","","piv","2"
"sinergi","协同作用","","pejvo","2"
"rezident","驻官","","piv","2"
"balistik","弹道","","pejvo","2"
"cipre","宝贝","","piv","2"
"televizi","电视","","pejvo","2"
"miasm","毒气","","pejvo","2"
"arkegoni","颈卵器","","piv","2"
"alergi","过敏","","pejvo","2"
"prestig^","威望","","pejvo","2"
"serg^ent","军士","","pejvo","2"
"psok","咬虫","","piv","2"
"korvet","护舰","","pejvo","2"
"neritik","浅海","","piv","2"
"konklav","秘会","","pejvo","2"
"fag^","食菌","","piv","2"
"drapir","帷","","pejvo","2"
"dromedar","单峰驼","","pejvo","2"
"hidatid","包虫","","piv","2"
"gajak","愈疮木","","pejvo","2"
"gvajak","愈疮木","gv","pejvo","2"
"minoritat","少数","","pejvo","2"
"peritone","腹膜","","pejvo","2"
"c^ir","卷须","","piv","2"
"karaben","马枪","","pejvo","2"
"efedrin","麻黄碱","","piv","2"
"kapstan","绞盘","","pejvo","2"
"anatem","咒","","pejvo","2"
"envult","咒","e","pejvo","2"
"fideikomis","信委","","piv","2"
"fen","焚风","","pejvo","2"
"mumi","干尸","","pejvo","2"
"lentan","五色梅","","piv","2"
"amfor","罐","","pejvo","2"
"bokal","罐","b","pejvo","2"
"centau^r","半人马","","pejvo","2"
"lem","引理","","pejvo","2"
"fau^l","违规","","pejvo","2"
"aksiom","公理","","pejvo","2"
"fau^n","兽群","","pejvo","2"
"hormon","激素","","pejvo","2"
"stimulin","激素","s","piv","2"
"ekstrapol","外推","","pejvo","2"
"agoni","垂死","","pejvo","2"
"kompiler","编译","","pejvo","2"
"kaprimulg","夜鹰","","pejvo","2"
"alte","立葵","","pejvo","2"
"alce","立葵","ac","piv","2"
"skrot","阴囊","","pejvo","2"
"melas","糖蜜","","pejvo","2"
"file","里脊","","piv","2"
"tetanos","破伤风","","piv","2"
"frog","辙叉","","piv","2"
"fuort","堡","","pejvo","2"
"burg","堡","b","piv","2"
"vikari","副祭","","pejvo","2"
"koron","日光环","","pejvo","2"
"insinu","影射","","piv","2"
"terminal","终端","","pejvo","2"
"alburn","白鱼","","pejvo","2"
"kastor","河狸","","pejvo","2"
"pastern","系部","","piv","2"
"presbiop","老花","","pejvo","2"
"kalkulus","结石","","pejvo","2"
